IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.25.40.89,1,1,0.00,151.68,0.00,N/A
104.18.171.171,1,1,0.00,151.70,0.00,N/A
172.67.174.170,1,1,0.00,151.72,0.00,N/A
104.17.57.127,1,1,0.00,151.73,0.00,N/A
104.21.0.153,1,1,0.00,151.73,0.00,N/A
104.19.154.233,1,1,0.00,151.73,0.00,N/A
172.67.184.33,1,1,0.00,151.73,0.00,N/A
104.21.120.25,1,1,0.00,151.73,0.00,N/A
104.21.239.252,1,1,0.00,151.78,0.00,N/A
172.67.180.184,1,1,0.00,151.78,0.00,N/A
172.67.109.44,1,1,0.00,153.98,0.00,N/A
104.17.65.223,1,1,0.00,151.81,0.00,N/A
104.16.140.97,1,1,0.00,151.83,0.00,N/A
104.24.77.231,1,1,0.00,151.83,0.00,N/A
104.25.206.166,1,1,0.00,151.83,0.00,N/A
162.159.34.129,1,1,0.00,151.86,0.00,N/A
104.16.210.245,1,1,0.00,151.86,0.00,N/A
162.159.143.156,1,1,0.00,151.87,0.00,N/A
104.16.209.210,1,1,0.00,151.88,0.00,N/A
104.24.154.252,1,1,0.00,151.88,0.00,N/A
104.16.40.45,1,1,0.00,151.90,0.00,N/A
104.19.47.19,1,1,0.00,151.91,0.00,N/A
104.25.4.32,1,1,0.00,151.92,0.00,N/A
104.17.128.4,1,1,0.00,151.92,0.00,N/A
172.66.148.74,1,1,0.00,151.92,0.00,N/A
162.159.60.96,1,1,0.00,151.94,0.00,N/A
104.24.36.81,1,1,0.00,151.97,0.00,N/A
104.18.94.155,1,1,0.00,153.98,0.00,N/A
104.18.16.161,1,1,0.00,151.98,0.00,N/A
104.17.121.204,1,1,0.00,151.99,0.00,N/A
104.24.205.48,1,1,0.00,152.01,0.00,N/A
104.24.90.24,1,1,0.00,152.02,0.00,N/A
172.66.145.127,1,1,0.00,152.02,0.00,N/A
104.18.211.53,1,1,0.00,152.03,0.00,N/A
104.16.251.133,1,1,0.00,152.03,0.00,N/A
104.19.211.21,1,1,0.00,152.03,0.00,N/A
104.25.222.149,1,1,0.00,152.04,0.00,N/A
104.21.229.211,1,1,0.00,152.05,0.00,N/A
104.25.30.21,1,1,0.00,152.05,0.00,N/A
104.18.89.225,1,1,0.00,152.05,0.00,N/A
104.17.122.44,1,1,0.00,152.07,0.00,N/A
104.16.224.179,1,1,0.00,152.07,0.00,N/A
104.24.218.50,1,1,0.00,152.08,0.00,N/A
104.27.116.178,1,1,0.00,152.09,0.00,N/A
172.64.229.196,1,1,0.00,152.09,0.00,N/A
172.67.94.93,1,1,0.00,152.09,0.00,N/A
104.18.96.85,1,1,0.00,152.10,0.00,N/A
104.16.12.239,1,1,0.00,152.12,0.00,N/A
162.159.142.26,1,1,0.00,152.13,0.00,N/A
104.17.35.150,1,1,0.00,152.14,0.00,N/A
162.159.196.114,1,1,0.00,152.14,0.00,N/A
104.19.107.244,1,1,0.00,152.15,0.00,N/A
162.159.129.12,1,1,0.00,152.15,0.00,N/A
172.67.171.19,1,1,0.00,152.16,0.00,N/A
104.18.38.201,1,1,0.00,152.16,0.00,N/A
104.24.207.152,1,1,0.00,152.17,0.00,N/A
172.64.152.235,1,1,0.00,152.17,0.00,N/A
162.159.46.186,1,1,0.00,152.18,0.00,N/A
104.18.76.208,1,1,0.00,152.21,0.00,N/A
104.19.64.157,1,1,0.00,152.22,0.00,N/A
104.24.193.203,1,1,0.00,152.22,0.00,N/A
104.19.30.130,1,1,0.00,152.24,0.00,N/A
104.17.20.5,1,1,0.00,152.27,0.00,N/A
104.16.32.182,1,1,0.00,152.27,0.00,N/A
104.16.101.169,1,1,0.00,152.27,0.00,N/A
162.159.254.77,1,1,0.00,152.27,0.00,N/A
104.17.55.244,1,1,0.00,152.27,0.00,N/A
104.19.162.103,1,1,0.00,152.27,0.00,N/A
104.24.34.166,1,1,0.00,152.29,0.00,N/A
104.16.82.39,1,1,0.00,152.29,0.00,N/A
141.101.122.93,1,1,0.00,152.31,0.00,N/A
104.21.52.114,1,1,0.00,152.32,0.00,N/A
104.20.38.238,1,1,0.00,152.32,0.00,N/A
172.67.193.42,1,1,0.00,152.32,0.00,N/A
104.27.122.173,1,1,0.00,152.33,0.00,N/A
104.24.157.22,1,1,0.00,152.34,0.00,N/A
104.24.27.116,1,1,0.00,152.34,0.00,N/A
104.25.224.30,1,1,0.00,152.35,0.00,N/A
104.19.222.66,1,1,0.00,152.38,0.00,N/A
104.16.215.33,1,1,0.00,152.40,0.00,N/A
172.67.194.93,1,1,0.00,152.42,0.00,N/A
104.19.184.235,1,1,0.00,152.42,0.00,N/A
104.24.93.78,1,1,0.00,152.44,0.00,N/A
104.17.71.14,1,1,0.00,152.44,0.00,N/A
104.18.132.33,1,1,0.00,152.46,0.00,N/A
104.18.231.42,1,1,0.00,152.46,0.00,N/A
104.18.135.112,1,1,0.00,152.48,0.00,N/A
104.25.38.157,1,1,0.00,152.49,0.00,N/A
104.21.21.218,1,1,0.00,152.50,0.00,N/A
104.21.232.53,1,1,0.00,152.50,0.00,N/A
104.25.23.159,1,1,0.00,152.50,0.00,N/A
172.67.228.174,1,1,0.00,152.50,0.00,N/A
198.41.195.58,1,1,0.00,152.51,0.00,N/A
172.67.236.243,1,1,0.00,152.51,0.00,N/A
104.21.195.159,1,1,0.00,152.52,0.00,N/A
172.66.213.107,1,1,0.00,152.53,0.00,N/A
104.19.58.16,1,1,0.00,152.54,0.00,N/A
104.20.62.171,1,1,0.00,152.54,0.00,N/A
172.66.199.222,1,1,0.00,152.54,0.00,N/A
104.21.71.189,1,1,0.00,152.55,0.00,N/A
104.16.2.208,1,1,0.00,152.56,0.00,N/A
104.16.232.107,1,1,0.00,152.58,0.00,N/A
172.67.252.94,1,1,0.00,152.60,0.00,N/A
172.67.153.114,1,1,0.00,152.60,0.00,N/A
104.24.2.229,1,1,0.00,152.62,0.00,N/A
104.18.24.122,1,1,0.00,152.63,0.00,N/A
104.25.168.15,1,1,0.00,152.63,0.00,N/A
162.159.32.254,1,1,0.00,152.65,0.00,N/A
104.18.141.120,1,1,0.00,152.65,0.00,N/A
104.27.117.230,1,1,0.00,152.65,0.00,N/A
104.19.113.6,1,1,0.00,152.66,0.00,N/A
104.27.100.97,1,1,0.00,152.66,0.00,N/A
104.16.231.159,1,1,0.00,152.67,0.00,N/A
104.25.123.83,1,1,0.00,152.67,0.00,N/A
104.25.31.157,1,1,0.00,152.68,0.00,N/A
104.18.199.136,1,1,0.00,152.68,0.00,N/A
172.64.96.53,1,1,0.00,152.68,0.00,N/A
104.16.137.39,1,1,0.00,152.68,0.00,N/A
104.24.73.69,1,1,0.00,152.69,0.00,N/A
162.159.16.129,1,1,0.00,152.69,0.00,N/A
104.17.253.208,1,1,0.00,152.70,0.00,N/A
104.24.243.137,1,1,0.00,152.71,0.00,N/A
104.24.89.126,1,1,0.00,152.72,0.00,N/A
104.17.212.82,1,1,0.00,152.72,0.00,N/A
104.24.94.45,1,1,0.00,152.72,0.00,N/A
104.24.139.33,1,1,0.00,152.72,0.00,N/A
104.24.242.86,1,1,0.00,152.72,0.00,N/A
104.19.136.218,1,1,0.00,152.74,0.00,N/A
104.21.99.33,1,1,0.00,152.76,0.00,N/A
104.25.153.97,1,1,0.00,152.78,0.00,N/A
104.24.246.43,1,1,0.00,152.79,0.00,N/A
104.21.80.147,1,1,0.00,152.81,0.00,N/A
104.25.100.107,1,1,0.00,152.82,0.00,N/A
172.66.141.155,1,1,0.00,152.82,0.00,N/A
104.17.66.83,1,1,0.00,152.83,0.00,N/A
172.67.141.252,1,1,0.00,152.83,0.00,N/A
104.18.0.242,1,1,0.00,152.86,0.00,N/A
104.27.110.13,1,1,0.00,152.87,0.00,N/A
104.17.210.220,1,1,0.00,152.88,0.00,N/A
104.24.208.16,1,1,0.00,152.90,0.00,N/A
162.159.138.34,1,1,0.00,152.91,0.00,N/A
104.27.72.89,1,1,0.00,152.91,0.00,N/A
104.25.142.170,1,1,0.00,152.92,0.00,N/A
104.19.56.49,1,1,0.00,152.93,0.00,N/A
104.24.215.37,1,1,0.00,152.95,0.00,N/A
104.25.137.152,1,1,0.00,152.97,0.00,N/A
104.19.83.161,1,1,0.00,152.98,0.00,N/A
104.17.117.100,1,1,0.00,152.98,0.00,N/A
104.18.213.242,1,1,0.00,152.98,0.00,N/A
104.24.156.59,1,1,0.00,152.99,0.00,N/A
104.25.162.214,1,1,0.00,152.99,0.00,N/A
104.27.125.148,1,1,0.00,153.00,0.00,N/A
198.41.205.152,1,1,0.00,153.01,0.00,N/A
104.18.164.164,1,1,0.00,153.01,0.00,N/A
104.20.12.46,1,1,0.00,153.02,0.00,N/A
104.25.121.106,1,1,0.00,153.03,0.00,N/A
104.24.49.93,1,1,0.00,153.05,0.00,N/A
104.21.192.227,1,1,0.00,153.05,0.00,N/A
104.27.5.89,1,1,0.00,153.06,0.00,N/A
104.21.62.105,1,1,0.00,153.07,0.00,N/A
172.64.98.35,1,1,0.00,153.07,0.00,N/A
104.21.81.119,1,1,0.00,153.09,0.00,N/A
104.27.14.107,1,1,0.00,153.10,0.00,N/A
172.67.83.74,1,1,0.00,153.11,0.00,N/A
104.18.39.249,1,1,0.00,153.16,0.00,N/A
104.16.205.231,1,1,0.00,153.17,0.00,N/A
172.66.167.223,1,1,0.00,153.17,0.00,N/A
104.21.57.57,1,1,0.00,153.17,0.00,N/A
104.27.200.131,1,1,0.00,153.20,0.00,N/A
104.16.109.45,1,1,0.00,153.21,0.00,N/A
172.66.44.109,1,1,0.00,153.22,0.00,N/A
162.159.17.178,1,1,0.00,153.22,0.00,N/A
104.17.232.242,1,1,0.00,153.23,0.00,N/A
104.25.216.183,1,1,0.00,153.23,0.00,N/A
104.18.44.152,1,1,0.00,153.24,0.00,N/A
104.16.240.146,1,1,0.00,153.24,0.00,N/A
172.67.239.161,1,1,0.00,153.24,0.00,N/A
162.159.246.219,1,1,0.00,153.26,0.00,N/A
104.18.56.186,1,1,0.00,153.26,0.00,N/A
162.159.235.191,1,1,0.00,153.27,0.00,N/A
162.159.56.129,1,1,0.00,153.28,0.00,N/A
104.16.255.170,1,1,0.00,153.29,0.00,N/A
172.67.85.124,1,1,0.00,153.29,0.00,N/A
104.24.144.42,1,1,0.00,153.31,0.00,N/A
104.25.204.65,1,1,0.00,153.34,0.00,N/A
104.18.116.23,1,1,0.00,153.35,0.00,N/A
104.16.53.239,1,1,0.00,153.36,0.00,N/A
104.18.252.11,1,1,0.00,153.36,0.00,N/A
104.19.73.47,1,1,0.00,153.37,0.00,N/A
104.25.2.92,1,1,0.00,153.38,0.00,N/A
104.17.115.80,1,1,0.00,153.40,0.00,N/A
104.25.116.111,1,1,0.00,153.40,0.00,N/A
104.17.82.14,1,1,0.00,153.42,0.00,N/A
104.21.29.41,1,1,0.00,153.43,0.00,N/A
104.25.241.117,1,1,0.00,153.43,0.00,N/A
104.17.231.68,1,1,0.00,153.44,0.00,N/A
104.20.57.223,1,1,0.00,153.44,0.00,N/A
104.24.198.3,1,1,0.00,153.44,0.00,N/A
104.19.105.72,1,1,0.00,153.46,0.00,N/A
104.21.236.176,1,1,0.00,153.49,0.00,N/A
104.17.30.127,1,1,0.00,153.49,0.00,N/A
104.18.185.46,1,1,0.00,153.50,0.00,N/A
104.25.54.190,1,1,0.00,153.55,0.00,N/A
104.17.119.13,1,1,0.00,153.56,0.00,N/A
104.25.21.44,1,1,0.00,153.56,0.00,N/A
104.24.150.148,1,1,0.00,153.56,0.00,N/A
162.159.152.179,1,1,0.00,153.59,0.00,N/A
162.159.193.71,1,1,0.00,153.59,0.00,N/A
104.24.219.146,1,1,0.00,153.59,0.00,N/A
172.67.226.251,1,1,0.00,153.60,0.00,N/A
104.27.46.65,1,1,0.00,153.61,0.00,N/A
172.67.190.204,1,1,0.00,153.62,0.00,N/A
104.16.39.67,1,1,0.00,153.62,0.00,N/A
104.16.234.243,1,1,0.00,153.64,0.00,N/A
104.16.86.240,1,1,0.00,153.67,0.00,N/A
162.159.253.133,1,1,0.00,153.68,0.00,N/A
104.18.20.84,1,1,0.00,153.68,0.00,N/A
104.25.124.128,1,1,0.00,153.68,0.00,N/A
104.25.243.8,1,1,0.00,153.69,0.00,N/A
104.17.173.189,1,1,0.00,153.72,0.00,N/A
104.17.7.241,1,1,0.00,153.74,0.00,N/A
104.20.55.2,1,1,0.00,153.74,0.00,N/A
104.21.73.208,1,1,0.00,153.76,0.00,N/A
104.25.51.184,1,1,0.00,153.79,0.00,N/A
104.16.190.46,1,1,0.00,153.79,0.00,N/A
104.16.155.13,1,1,0.00,153.80,0.00,N/A
104.25.185.101,1,1,0.00,153.80,0.00,N/A
104.24.225.8,1,1,0.00,153.82,0.00,N/A
172.67.100.166,1,1,0.00,153.82,0.00,N/A
104.21.10.68,1,1,0.00,153.82,0.00,N/A
104.16.21.134,1,1,0.00,153.82,0.00,N/A
104.21.53.177,1,1,0.00,153.83,0.00,N/A
104.25.52.218,1,1,0.00,153.85,0.00,N/A
104.19.250.185,1,1,0.00,153.86,0.00,N/A
172.66.158.148,1,1,0.00,153.88,0.00,N/A
104.19.84.12,1,1,0.00,153.89,0.00,N/A
104.19.181.155,1,1,0.00,153.89,0.00,N/A
104.20.11.156,1,1,0.00,153.89,0.00,N/A
104.20.1.45,1,1,0.00,153.90,0.00,N/A
104.18.35.163,1,1,0.00,153.91,0.00,N/A
162.159.130.147,1,1,0.00,153.93,0.00,N/A
190.93.247.234,1,1,0.00,153.93,0.00,N/A
104.24.35.60,1,1,0.00,153.93,0.00,N/A
104.24.9.185,1,1,0.00,153.95,0.00,N/A
104.19.7.74,1,1,0.00,142.16,0.00,N/A
104.24.20.14,1,1,0.00,153.95,0.00,N/A
104.27.10.188,1,1,0.00,153.96,0.00,N/A
104.17.24.153,1,1,0.00,153.97,0.00,N/A
104.25.255.219,1,1,0.00,151.97,0.00,N/A
104.21.122.187,1,1,0.00,142.17,0.00,N/A
104.25.47.154,1,1,0.00,145.33,0.00,N/A
104.19.52.11,1,1,0.00,153.99,0.00,N/A
104.27.63.1,1,1,0.00,154.00,0.00,N/A
104.21.94.174,1,1,0.00,154.00,0.00,N/A
104.16.208.0,1,1,0.00,154.00,0.00,N/A
104.24.181.148,1,1,0.00,154.01,0.00,N/A
104.24.66.103,1,1,0.00,154.01,0.00,N/A
104.19.209.0,1,1,0.00,154.03,0.00,N/A
104.27.27.116,1,1,0.00,154.04,0.00,N/A
172.66.160.70,1,1,0.00,154.05,0.00,N/A
104.25.57.155,1,1,0.00,154.05,0.00,N/A
104.25.98.230,1,1,0.00,154.05,0.00,N/A
104.16.8.148,1,1,0.00,154.05,0.00,N/A
104.19.101.38,1,1,0.00,154.07,0.00,N/A
104.24.184.119,1,1,0.00,154.07,0.00,N/A
172.66.144.126,1,1,0.00,154.07,0.00,N/A
104.24.18.180,1,1,0.00,154.07,0.00,N/A
172.67.118.146,1,1,0.00,154.08,0.00,N/A
104.25.182.31,1,1,0.00,154.08,0.00,N/A
104.24.146.215,1,1,0.00,154.09,0.00,N/A
172.67.219.133,1,1,0.00,154.09,0.00,N/A
104.27.6.102,1,1,0.00,154.10,0.00,N/A
104.27.33.213,1,1,0.00,154.10,0.00,N/A
104.16.81.161,1,1,0.00,154.11,0.00,N/A
104.20.37.64,1,1,0.00,154.12,0.00,N/A
104.19.102.17,1,1,0.00,154.12,0.00,N/A
104.20.53.161,1,1,0.00,154.12,0.00,N/A
104.21.101.246,1,1,0.00,154.14,0.00,N/A
104.19.1.2,1,1,0.00,154.14,0.00,N/A
104.17.211.171,1,1,0.00,154.15,0.00,N/A
172.67.241.3,1,1,0.00,154.15,0.00,N/A
172.67.136.163,1,1,0.00,154.17,0.00,N/A
104.17.81.88,1,1,0.00,154.19,0.00,N/A
104.25.35.113,1,1,0.00,154.20,0.00,N/A
104.19.118.240,1,1,0.00,154.20,0.00,N/A
104.24.30.34,1,1,0.00,154.21,0.00,N/A
104.21.30.55,1,1,0.00,154.24,0.00,N/A
104.17.50.235,1,1,0.00,154.25,0.00,N/A
173.245.59.12,1,1,0.00,154.26,0.00,N/A
104.21.16.247,1,1,0.00,154.26,0.00,N/A
172.67.202.35,1,1,0.00,154.27,0.00,N/A
172.66.202.243,1,1,0.00,154.27,0.00,N/A
104.24.194.201,1,1,0.00,154.27,0.00,N/A
104.19.72.61,1,1,0.00,154.27,0.00,N/A
104.18.205.187,1,1,0.00,154.29,0.00,N/A
104.19.121.220,1,1,0.00,154.31,0.00,N/A
104.17.235.253,1,1,0.00,154.32,0.00,N/A
104.17.226.124,1,1,0.00,154.34,0.00,N/A
172.66.2.143,1,1,0.00,154.34,0.00,N/A
141.101.90.42,1,1,0.00,154.35,0.00,N/A
104.20.40.42,1,1,0.00,154.36,0.00,N/A
104.21.89.45,1,1,0.00,154.38,0.00,N/A
104.27.118.85,1,1,0.00,154.39,0.00,N/A
104.20.2.55,1,1,0.00,154.41,0.00,N/A
104.24.189.252,1,1,0.00,154.41,0.00,N/A
198.41.217.68,1,1,0.00,154.42,0.00,N/A
172.67.211.51,1,1,0.00,154.43,0.00,N/A
104.19.43.81,1,1,0.00,154.43,0.00,N/A
104.25.233.87,1,1,0.00,154.44,0.00,N/A
104.17.56.155,1,1,0.00,154.44,0.00,N/A
104.19.131.196,1,1,0.00,154.45,0.00,N/A
104.27.193.183,1,1,0.00,154.45,0.00,N/A
172.67.115.156,1,1,0.00,154.46,0.00,N/A
104.21.117.80,1,1,0.00,154.46,0.00,N/A
104.27.89.211,1,1,0.00,154.47,0.00,N/A
104.21.9.181,1,1,0.00,154.47,0.00,N/A
104.16.147.59,1,1,0.00,154.48,0.00,N/A
104.24.95.199,1,1,0.00,154.48,0.00,N/A
104.24.32.233,1,1,0.00,154.51,0.00,N/A
104.21.78.210,1,1,0.00,154.51,0.00,N/A
104.18.79.158,1,1,0.00,154.52,0.00,N/A
172.64.151.110,1,1,0.00,154.52,0.00,N/A
104.24.65.25,1,1,0.00,154.52,0.00,N/A
104.27.123.45,1,1,0.00,154.52,0.00,N/A
104.24.7.151,1,1,0.00,154.53,0.00,N/A
104.25.115.33,1,1,0.00,154.53,0.00,N/A
104.27.18.210,1,1,0.00,154.55,0.00,N/A
104.25.236.117,1,1,0.00,154.56,0.00,N/A
104.17.26.216,1,1,0.00,154.58,0.00,N/A
104.27.124.141,1,1,0.00,154.58,0.00,N/A
172.66.196.201,1,1,0.00,154.59,0.00,N/A
172.67.92.140,1,1,0.00,154.59,0.00,N/A
104.19.63.142,1,1,0.00,154.60,0.00,N/A
162.159.40.37,1,1,0.00,154.60,0.00,N/A
172.67.113.208,1,1,0.00,154.61,0.00,N/A
104.25.159.60,1,1,0.00,154.61,0.00,N/A
104.19.45.158,1,1,0.00,154.62,0.00,N/A
104.27.11.127,1,1,0.00,154.62,0.00,N/A
104.25.63.30,1,1,0.00,154.63,0.00,N/A
104.20.45.55,1,1,0.00,154.64,0.00,N/A
104.24.191.134,1,1,0.00,154.65,0.00,N/A
104.21.54.240,1,1,0.00,154.67,0.00,N/A
172.64.53.5,1,1,0.00,154.68,0.00,N/A
104.18.69.85,1,1,0.00,154.69,0.00,N/A
172.67.126.6,1,1,0.00,154.69,0.00,N/A
104.24.143.53,1,1,0.00,154.70,0.00,N/A
172.67.102.241,1,1,0.00,154.70,0.00,N/A
172.66.154.240,1,1,0.00,154.71,0.00,N/A
104.24.238.2,1,1,0.00,154.72,0.00,N/A
104.25.190.129,1,1,0.00,154.73,0.00,N/A
104.21.34.186,1,1,0.00,154.73,0.00,N/A
104.27.8.156,1,1,0.00,154.73,0.00,N/A
104.24.128.104,1,1,0.00,154.73,0.00,N/A
172.66.41.227,1,1,0.00,154.74,0.00,N/A
172.67.150.129,1,1,0.00,154.75,0.00,N/A
172.67.186.29,1,1,0.00,154.75,0.00,N/A
104.25.43.154,1,1,0.00,154.75,0.00,N/A
104.17.206.12,1,1,0.00,154.75,0.00,N/A
104.25.177.239,1,1,0.00,154.75,0.00,N/A
104.27.79.253,1,1,0.00,154.76,0.00,N/A
104.18.198.113,1,1,0.00,154.77,0.00,N/A
162.159.49.98,1,1,0.00,154.77,0.00,N/A
104.21.124.219,1,1,0.00,154.77,0.00,N/A
104.24.145.52,1,1,0.00,154.77,0.00,N/A
104.27.113.251,1,1,0.00,154.77,0.00,N/A
198.41.202.79,1,1,0.00,154.78,0.00,N/A
104.19.135.191,1,1,0.00,154.78,0.00,N/A
104.19.76.198,1,1,0.00,154.78,0.00,N/A
104.18.11.186,1,1,0.00,154.78,0.00,N/A
172.64.148.219,1,1,0.00,154.78,0.00,N/A
104.19.22.29,1,1,0.00,154.79,0.00,N/A
104.19.128.252,1,1,0.00,154.79,0.00,N/A
104.25.174.25,1,1,0.00,154.80,0.00,N/A
104.25.33.43,1,1,0.00,154.80,0.00,N/A
172.67.177.77,1,1,0.00,154.81,0.00,N/A
104.19.132.239,1,1,0.00,154.82,0.00,N/A
104.16.191.250,1,1,0.00,154.82,0.00,N/A
162.159.27.40,1,1,0.00,154.83,0.00,N/A
104.19.202.42,1,1,0.00,154.84,0.00,N/A
104.16.185.184,1,1,0.00,154.84,0.00,N/A
162.159.192.108,1,1,0.00,154.85,0.00,N/A
104.27.86.133,1,1,0.00,154.85,0.00,N/A
162.159.45.139,1,1,0.00,154.85,0.00,N/A
104.24.147.199,1,1,0.00,154.85,0.00,N/A
104.19.35.45,1,1,0.00,154.86,0.00,N/A
104.24.206.85,1,1,0.00,154.88,0.00,N/A
104.20.6.195,1,1,0.00,154.88,0.00,N/A
104.19.92.217,1,1,0.00,154.89,0.00,N/A
162.159.137.82,1,1,0.00,154.89,0.00,N/A
104.19.249.152,1,1,0.00,154.90,0.00,N/A
104.21.85.10,1,1,0.00,154.90,0.00,N/A
104.19.95.86,1,1,0.00,154.90,0.00,N/A
172.67.103.238,1,1,0.00,154.90,0.00,N/A
104.25.231.142,1,1,0.00,154.91,0.00,N/A
104.20.14.131,1,1,0.00,154.92,0.00,N/A
162.159.50.47,1,1,0.00,154.92,0.00,N/A
172.64.230.40,1,1,0.00,154.93,0.00,N/A
104.27.26.42,1,1,0.00,154.93,0.00,N/A
104.25.95.96,1,1,0.00,154.94,0.00,N/A
172.64.231.10,1,1,0.00,154.95,0.00,N/A
104.24.137.182,1,1,0.00,154.96,0.00,N/A
162.159.2.94,1,1,0.00,154.96,0.00,N/A
104.25.247.148,1,1,0.00,154.97,0.00,N/A
104.27.32.46,1,1,0.00,154.97,0.00,N/A
104.27.45.228,1,1,0.00,154.97,0.00,N/A
172.66.161.199,1,1,0.00,154.97,0.00,N/A
104.16.75.212,1,1,0.00,154.97,0.00,N/A
104.21.219.236,1,1,0.00,154.97,0.00,N/A
172.67.119.11,1,1,0.00,154.97,0.00,N/A
104.19.110.71,1,1,0.00,154.99,0.00,N/A
104.29.143.135,1,1,0.00,154.99,0.00,N/A
104.16.223.144,1,1,0.00,154.99,0.00,N/A
172.66.142.128,1,1,0.00,155.00,0.00,N/A
104.21.74.198,1,1,0.00,155.02,0.00,N/A
104.16.199.165,1,1,0.00,155.03,0.00,N/A
104.24.46.236,1,1,0.00,155.03,0.00,N/A
104.19.25.111,1,1,0.00,155.03,0.00,N/A
104.19.247.103,1,1,0.00,155.05,0.00,N/A
172.64.84.34,1,1,0.00,155.05,0.00,N/A
104.19.94.218,1,1,0.00,155.05,0.00,N/A
172.64.150.111,1,1,0.00,155.06,0.00,N/A
104.19.97.248,1,1,0.00,155.07,0.00,N/A
104.27.0.223,1,1,0.00,155.10,0.00,N/A
104.24.151.121,1,1,0.00,155.12,0.00,N/A
172.67.152.27,1,1,0.00,155.12,0.00,N/A
172.67.148.216,1,1,0.00,155.13,0.00,N/A
172.67.201.217,1,1,0.00,155.14,0.00,N/A
162.159.7.105,1,1,0.00,155.15,0.00,N/A
104.20.47.95,1,1,0.00,155.16,0.00,N/A
104.25.244.182,1,1,0.00,155.16,0.00,N/A
104.25.251.52,1,1,0.00,155.17,0.00,N/A
104.27.87.3,1,1,0.00,155.18,0.00,N/A
172.67.122.66,1,1,0.00,155.19,0.00,N/A
104.25.112.78,1,1,0.00,155.19,0.00,N/A
104.25.151.130,1,1,0.00,155.20,0.00,N/A
104.19.71.44,1,1,0.00,155.20,0.00,N/A
104.25.105.223,1,1,0.00,155.22,0.00,N/A
104.19.85.166,1,1,0.00,155.22,0.00,N/A
104.21.198.236,1,1,0.00,155.22,0.00,N/A
104.20.4.9,1,1,0.00,155.22,0.00,N/A
104.20.58.234,1,1,0.00,155.22,0.00,N/A
104.27.201.158,1,1,0.00,155.23,0.00,N/A
104.21.126.24,1,1,0.00,155.23,0.00,N/A
104.16.164.41,1,1,0.00,155.23,0.00,N/A
104.27.30.9,1,1,0.00,155.24,0.00,N/A
172.67.166.137,1,1,0.00,155.25,0.00,N/A
104.18.131.186,1,1,0.00,155.25,0.00,N/A
104.18.196.21,1,1,0.00,155.26,0.00,N/A
162.159.33.240,1,1,0.00,155.26,0.00,N/A
104.24.175.249,1,1,0.00,155.26,0.00,N/A
104.24.12.22,1,1,0.00,155.27,0.00,N/A
104.25.65.92,1,1,0.00,155.28,0.00,N/A
172.67.229.199,1,1,0.00,155.28,0.00,N/A
104.19.26.118,1,1,0.00,155.28,0.00,N/A
104.19.87.54,1,1,0.00,155.29,0.00,N/A
104.17.99.143,1,1,0.00,155.30,0.00,N/A
104.24.152.167,1,1,0.00,155.32,0.00,N/A
172.64.97.8,1,1,0.00,155.33,0.00,N/A
104.17.49.186,1,1,0.00,155.33,0.00,N/A
162.159.243.9,1,1,0.00,155.34,0.00,N/A
104.27.4.217,1,1,0.00,155.34,0.00,N/A
104.27.91.229,1,1,0.00,155.35,0.00,N/A
172.67.238.64,1,1,0.00,155.36,0.00,N/A
104.25.46.114,1,1,0.00,155.36,0.00,N/A
104.18.201.67,1,1,0.00,155.36,0.00,N/A
104.25.197.224,1,1,0.00,155.39,0.00,N/A
104.18.250.96,1,1,0.00,155.40,0.00,N/A
172.64.41.151,1,1,0.00,155.40,0.00,N/A
104.25.201.123,1,1,0.00,155.41,0.00,N/A
104.24.33.149,1,1,0.00,155.42,0.00,N/A
172.66.216.23,1,1,0.00,155.43,0.00,N/A
104.19.243.18,1,1,0.00,155.43,0.00,N/A
104.25.62.186,1,1,0.00,155.43,0.00,N/A
104.27.9.7,1,1,0.00,155.44,0.00,N/A
104.24.185.84,1,1,0.00,155.45,0.00,N/A
104.25.59.9,1,1,0.00,155.46,0.00,N/A
172.67.213.61,1,1,0.00,155.46,0.00,N/A
172.67.142.247,1,1,0.00,155.47,0.00,N/A
104.27.2.46,1,1,0.00,155.47,0.00,N/A
172.66.138.187,1,1,0.00,155.48,0.00,N/A
104.21.222.215,1,1,0.00,155.48,0.00,N/A
162.159.4.232,1,1,0.00,155.50,0.00,N/A
104.24.168.25,1,1,0.00,155.51,0.00,N/A
172.67.165.201,1,1,0.00,155.52,0.00,N/A
104.25.178.28,1,1,0.00,155.53,0.00,N/A
172.67.189.58,1,1,0.00,155.54,0.00,N/A
104.24.142.227,1,1,0.00,155.55,0.00,N/A
104.19.82.170,1,1,0.00,155.55,0.00,N/A
104.25.9.250,1,1,0.00,155.56,0.00,N/A
172.67.214.30,1,1,0.00,155.57,0.00,N/A
104.19.188.17,1,1,0.00,155.58,0.00,N/A
104.18.241.0,1,1,0.00,155.58,0.00,N/A
172.64.92.216,1,1,0.00,155.58,0.00,N/A
162.159.128.90,1,1,0.00,155.58,0.00,N/A
104.27.104.247,1,1,0.00,155.59,0.00,N/A
198.41.201.19,1,1,0.00,155.60,0.00,N/A
104.19.253.220,1,1,0.00,155.60,0.00,N/A
104.18.111.227,1,1,0.00,155.60,0.00,N/A
